shared name,IDs_2,cor_2, pval_2,Extract,p.value.corrected,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
47,432.167 788 1 (ID: 935),0.228248761494718,0.432541457181176,0.00007454048,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,0.000008536581,0.001934366
48,432.184 803 2 (ID: 344),-0.0835724691992009,0.776378242451035,0.0002749141,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,0.009457076,0.003302277
49,435.177 919 2 (ID: 218),0.347895692776188,0.222891464851555,0.009141118,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,0.0003731919,0.002575599
50,439.357 1214 1 (ID: 1081),-0.197584955152447,0.498347690975837,0.00002301569,1,6.464336E-10,0.00008717377,0.002005304,0.03673313,0.000178774,3.209307E-11,0.00000463607,0.00003644499,3.132689E-11,2.94577E-11,2.546485E-11,2.382878E-11,1.845665E-11
51,439.357 1157 1 (ID: 1085),-0.224835529288488,0.439641377794201,0.00009954754,1,6.464336E-10,0.00007648358,0.004299459,0.02183517,0.0004768013,3.209307E-11,3.621885E-11,0.0001296152,3.132689E-11,0.000005758959,2.546485E-11,2.382878E-11,0.0000009337951
52,439.357 1577 1 (ID: 1095),-0.216584621099606,0.457041220868512,0.0001283771,1,6.464336E-10,0.001401029,0.004180801,0.0353695,0.00008760502,0.00001414479,0.00002210818,0.00002087668,0.0000006781284,2.94577E-11,0.000008375676,0.0000034589,1.845665E-11
53,441.372 1526 1 (ID: 1091),-0.200199365241951,0.492563779634091,0.00001278004,1,0.00001742188,0.001043785,0.002195819,0.04552438,0.0000711109,0.000005336544,0.000009557219,0.00002505859,3.132689E-11,2.94577E-11,2.546485E-11,2.382878E-11,0.0000006173931
54,442.168 776 2 (ID: 197),0.231476304075994,0.425881241930604,0.002145192,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,0.0000007584924,2.546485E-11,0.00003953211,0.04538286
55,442.186 1085 2 (ID: 184),0.230796002272646,0.427280740530007,0.002740669,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,0.0001282872,0.05999939
56,443.242 1625 1 (ID: 363),-0.190615430683349,0.513918072162953,0.0001255544,1,6.464336E-10,1.221705E-10,8.650469E-10,0.03628881,0.003066697,0.00001625562,0.0000157158,0.000005164698,0.000008372052,2.94577E-11,0.000001569142,0.000003199481,1.845665E-11
57,445.180 1199 1 (ID: 952),0.221870911106522,0.44585490412641,0.00001808106,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,0.0000008620939,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,2.382878E-11,0.001130042
58,445.191 1050 2 (ID: 885),-0.180267561363161,0.537432904872831,2.445946E-11,1,6.464336E-10,0.0000918388,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,0.001777455,1.845665E-11
59,452.168 1024 1 (ID: 207),0.231739400682038,0.425340630350845,0.001520436,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,0.0000008456394,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,2.382878E-11,0.03187367
60,459.236 1282 1 (ID: 818),-0.181796201787264,0.533929894889183,0.0000005397138,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,0.0000009097464,0.00002074683,2.981473E-11,3.132689E-11,2.94577E-11,0.00006928522,0.001038576,1.845665E-11
61,464.181 847 1 (ID: 997),0.223497888454373,0.44243956953766,0.0000184357,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,2.382878E-11,0.0008763841
62,464.200 1211 2 (ID: 846),-0.172174686626731,0.556143393187263,0.000004349065,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,0.0000485505,0.002675582,0.000006793232
63,465.370 2044 1 (ID: 1068),-0.278676865558257,0.33464685012323,0.0001920894,1,0.0125757,0.03175287,0.004730478,0.0007049885,0.000001284785,3.209307E-11,0.000007783594,0.000005812316,3.132689E-11,2.94577E-11,2.546485E-11,2.382878E-11,1.845665E-11
64,465.370 1966 1 (ID: 1075),-0.286165961759936,0.321267948688969,0.00004023261,1,6.464336E-10,0.0009679153,0.005534852,0.009699146,0.000003075912,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,0.0000006438202,2.382878E-11,1.845665E-11
65,465.370 1944 1 (ID: 1082),-0.219780068163476,0.450263048557317,0.00008869846,1,6.464336E-10,0.001727955,0.00350364,0.02985674,0.00003280741,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,2.382878E-11,1.845665E-11
66,466.186 1442 1 (ID: 968),0.223157713165869,0.44315258515967,0.00003784695,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,0.000001804351,0.001853107
67,467.387 2205 1 (ID: 1044),-0.178851847686409,0.540686046522069,0.00001046175,1,6.464336E-10,0.007034253,8.650469E-10,0.00004320892,3.672463E-11,3.209307E-11,0.0000008218506,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,2.382878E-11,1.845665E-11
68,481.293 1687 1 (ID: 1051),-0.210668687828712,0.469720130070095,0.0007408401,1,6.464336E-10,0.1225744,0.01966209,0.001160175,0.00004180759,0.00006417379,0.0002461595,0.0000316713,0.000006767624,0.00001149969,0.00003680612,0.00003572461,0.000009183226
69,481.365 1906 1 (ID: 131),-0.321674154723735,0.262067427480664,0.0000450362,1,0.006356928,0.03092421,0.07879277,0.021366,0.000001238648,3.209307E-11,0.0000009921453,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,2.382878E-11,1.845665E-11
70,483.378 2087 1 (ID: 1057),-0.194689641909525,0.504789417886712,2.445946E-11,1,6.464336E-10,0.003230368,8.650469E-10,0.000280007,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,2.382878E-11,1.845665E-11
71,483.380 1940 1 (ID: 1066),-0.198875049120322,0.495489676950737,2.445946E-11,1,6.464336E-10,0.00683089,0.00026649,0.0004402077,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,2.382878E-11,1.845665E-11
72,497.288 1375 1 (ID: 288),0.337421201569584,0.238076326030631,0.0002441349,1,6.464336E-10,0.001357033,0.0000561392,0.00001016169,3.672463E-11,3.209307E-11,3.621885E-11,0.003500204,0.001315461,2.94577E-11,0.00001844028,0.00001262471,0.000003884507
